Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Toivola	2h, k, s	rt	5300	30000	566	1981		ei	hyvä	D2013
Suurikylä	2h,k	rt	5900	35000	593	1974		ei	hyvä	
Suurikylä	2h,kk	rt	4500	20242	450	1963	1/1	ei	huono	D2007
Skinnarila	2h,k,s	rt	5200	45000	865	1990		ei		
Skinnarila	3h,k,s,	rt	7900	62000	785	1976		ei		D2013
Suurikylä	3mh, oh, k, ph,...	rt	10400	58000	558	1978		ei	hyvä	
Suurikylä	4h,k,kph,vh,2wc...	kt	8900	48000	539	1980		ei	hyvä	
Suurikylä	4h,k,wc,et,kuis...	ok	8600	48000	558	1928		ei	tyyd.	
Suurikylä	4h, k, pkh, kph...	ok	11900	70000	588	1973		ei	hyvä	
Suurikylä	3mh,oh,k,pkh,ps...	ok	11400	52000	456	1969		ei	tyyd.	
