Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Pere	1 h, kt, alk, k...	kt	2850	137900	4839	2020	1/5	on	hyvä	B2018
Pere	1 h, kt, alk, k...	kt	3250	154900	4766	2020	2/5	on	hyvä	B2018
Killo	1h, kt, kph, ra...	kt	2250	99092	4404	2017	5/5	on	hyvä	
Pere	1 h, kt, alk, k...	kt	3050	141800	4649	2020	1/5	on	hyvä	B2018
Pere	1h, kt, alk, kp...	kt	3000	150800	5027	2020	3/5	on	hyvä	B2018
Pere	1h, kt, alk, kp...	kt	3000	153800	5127	2020	4/5	on	hyvä	B2018
Pere	1 h, kt, alk, k...	kt	3250	162900	5012	2020	3/5	on	hyvä	B2018
Partola	2h,k,s	kt	5400	167000	3093	2008	2/5	on		E2013
Pere	2h+k+kph	kt	4750	125000	2632	2005	2/3	ei	hyvä	
Partola	2h, k, kph/s, l...	kt	5400	152000	2815	2008	2/5	on	hyvä	
Loukonlahti	2h,k,las.p	kt	6300	106500	1690	1969	3/3	ei	hyvä	E2013
Nuoliala	2h, k, s, las.p...	kt	5700	177500	3114	2013	3/5	on	hyvä	B2018
Nuoliala	2h+kt+s	kt	5000	168000	3360	2013	2/5	on	hyvä	C2013
Killo	3h+k+s	kt	7700	220000	2857	2015	2/5	on	hyvä	C2013
Killo	3h, k, s	kt	6800	177000	2603	2001	1/2	ei	hyvä	E
Loukonlahti	3h,k,kph,vh,las...	kt	7600	104000	1368	1985	3/3	ei	hyvä	D2007
Loukonlahti	3h, k, kph/wc, ...	kt	8150	134000	1644	1972	4/5	on	hyvä	
Loukonlahti	3h, k, kph, las...	kt	7800	130000	1667	1970	2/3	ei	hyvä	
Pere	3-4 h, kt, kph,...	kt	8650	349600	4042	2020	1/5	on	hyvä	B2018
Pere	3-4 h+k+vh+s	kt	10050	461600	4593	2020	3/5	on	hyvä	B2018
Partola	4h, k, khh, sau...	kt	9400	250000	2660	2007	4/5	on	hyvä	D2013
Pere	3-4 h, kt, kph,...	kt	8650	408600	4724	2020	3/5	on	hyvä	B2018
Pere	3-4 h, kt, kph,...	kt	8650	452600	5232	2020	4/5	on	hyvä	B2018
Pere	5h, k, 2kph, kh...	kt	14600	330000	2260	1990	-1/5	on	hyvä	
