Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Keskusta	1h,kk	rt	3600	30500	847	1973		ei	hyvä	
Keskusta	1h,kk	rt	3100	17500	565	1974		ei	tyyd.	
Nakkila	1h,k,alk,s	rt	4500	42000	933	1989		ei		
Keskusta	2h,k,s	rt	6000	45000	750	1984		ei	hyvä	
Nakkila	2h,k,kph	rt	6200	41500	669	1965		ei	hyvä	
Arantila	2h,k,s	rt	5200	35000	673	1972		ei	tyyd.	
Nakkila	oh, k, khh, ph,...	ok	18300	145000	792	1987	1/1	ei	tyyd.	E
Nakkila	3mh, oh, tkh, k...	ok	13200	34939	265	1980	1/1	ei	tyyd.	
Nakkila	Ak: oh, mh, k, ...	ok	17500	252000	1440	2006	1/1	ei	hyvä	
