Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Piikkiö	asunto	kt	4550	60000	1319	1990	2/3	ei	hyvä	
Piikkiö	2h+k+parv.	kt	5900	59000	1000	1969	2/3	ei	hyvä	
Piikkiö	2h+k	kt	5850	69000	1179	1973	3/3	on	hyvä	
Piikkiö	2h+k+kph/wc+las...	kt	5700	59500	1044	1971	3/3	ei	tyyd.	D2018
Piikkiö	2h,k,kph,s,terassi	rt	6700	158000	2358	2006	1/1	ei	hyvä	A2007
Piikkiö	2 h,k,sauna, va...	rt	7200	223920	3110	2019	1/1	ei	hyvä	
Piikkiö	3-4 h, k, s	rt	8000	129000	1613	1988	1/2	ei	tyyd.	F2007
Raadelma	3h, k, s, khh, ...	rt	9700	309000	3186	2008	2/2	ei	hyvä	C2007
Piikkiö	3h,k,kph,s	rt	8500	187000	2200	2006	1/1	ei	hyvä	A2007
Piikkiö	3h, k, s, p	kt	7450	95000	1275	1982	1/5	ei	tyyd.	
Piikkiö	3 h, k, kph, s,...	kt	7050	120000	1702	1989	2/2	ei	hyvä	D2007
Piikkiö	3 h,k,sauna, va...	rt	8200	247000	3012	2019	1/1	ei	hyvä	
Piikkiö	4 h, k, s, kh, khh	rt	11200	256000	2286	2006	1/1	ei	hyvä	
Piikkiö	4h, k, s	ok	10700	230000	2150	1982	-1/1	ei	hyvä	
Piikkiö	4h, k, kph, s, ...	ok	12000	185000	1542	1982	1/2	ei	hyvä	
Piikkiö		ok	28000	298000	1064	1913	1/3	ei	hyvä	
Piikkiö	4h,k,ph,s,wc,kh...	ok	11800	185500	1572	1978		ei	hyvä	E2018
Piikkiö	4h, k, th, parv...	ok	11400	236000	2070	1997	1/1	ei	hyvä	
Piikkiö	4h, tkh, k, s, ...	ok	11800	186200	1578	1983	-1/1	ei	tyyd.	
Piikkiö	4h,k,kph,s,wc,k...	ok	11100	217500	1959	1998		ei	hyvä	E2018
Piikkiö	3-4 h,k,sauna, ...	rt	9200	279000	3033	2019	1/1	ei	hyvä	
Piikkiö	5h,k,wc,pkh,ph,...	ok	11600	154000	1328	1977		ei	tyyd.	
Piikkiö	5h, k, s	ok	15900	260000	1635	2003		ei	hyvä	
