Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Keskusta	1h, k, vh, kph, p	kt	3900	87000	2231	1959	3/4	on	tyyd.	D2007
Keskusta	1h+keittiö...	kt	2450	85000	3469	1956	7/8	ei	hyvä	
Keskusta	1h, kk, lasitet...	kt	2700	94500	3500	1962	4/6	on	hyvä	
Keskusta	1h, kk	kt	2700	96109	3560	1962	5/6	on	hyvä	
Keskusta	1h+k+kph	kt	3800	73000	1921	1957	1/6	on	huono	F2013
Keskusta	1h, kk, kh, ran...	kt	2450	53000	2163	1956	7/8	on	tyyd.	D2007
Keski-lahti	1h,k,kph,vh,p	kt	3600	96000	2667	1959	2/6	on	tyyd.	D2007
Keskusta	2h,k,kph/wc	kt	4600	105000	2283	1951	4/6	on	hyvä	F2013
Niemi	2h,k,kph,s,lasi...	kt	5300	124000	2340	1985	2/6	ei	hyvä	
Keskusta	2h, k, s, kph, ...	kt	5500	125000	2273	1985	4/6	on	hyvä	D
Asemantausta	2h,kk,kph,s,las.p	kt	5300	125000	2358	1994	2/2	ei	hyvä	
Keskusta	2h, k, kph, lp	kt	6000	140000	2333	1961	7/7	on	hyvä	
Keskusta	Avok,oh,kph,s,p...	kt	5350	173000	3234	1937	2/2	ei	hyvä	
Keskusta	2h,kt,s, 2x ran...	kt	5650	210000	3717	2014	6/7	on	hyvä	
Keskusta	2h,k,kh	kt	4500	136000	3022	1947	6/9	on	hyvä	F2018
Keskusta	2h+k+halli+kph	kt	6500	133000	2046	1938	5/5	on	hyvä	D2007
Keskusta	2h,k,vh,parv.	kt	4500	118000	2622	1959	3/7	on	hyvä	F2013
Keskusta	2h,kk,kph,ransk...	kt	3800	92000	2421	1959	3/6	on	tyyd.	D2007
Keskusta	2h,k,kph,p	kt	5300	115000	2170	1963	4/6	on	tyyd.	E
Keskusta	2h, kk, sauna, kph	kt	4300	70000	1628	1961	3/8	on	hyvä	E2007
Keskusta	3h,k,kph,las.p	kt	6300	125000	1984	1963	4/7	ei	tyyd.	
Keskusta	3h,k,s,wc,lasit...	kt	8150	319000	3914	2014	2/7	on	hyvä	A2007
Keskusta	3h,k,wc, kph,s,...	kt	8000	199000	2488	1990	3/8	on	tyyd.	G2013
Keskusta	3h, k, s	kt	8300	323500	3898	2014	5/7	on	hyvä	
Keskusta	avok., oh, 2 mh...	kt	7200	223000	3097	2013	2/5	on	hyvä	A
Keskusta	3h,k,kph,lasip	kt	6700	124000	1851	1956	6/8	on	hyvä	E2018
Keskusta	3h,k,s,kph,wc,p...	kt	9400	266000	2830	2000	4/5	on	hyvä	B2007
Keskusta	3h, k, p	kt	8500	117000	1376	1911	4/6	on	hyvä	D
Keskusta	3h, kt, s	kt	8500	312500	3676	2014	4/7	ei	hyvä	
Keskusta	3h,k,kh,vh,terassi	kt	8100	148000	1827	1947	3/6	on	hyvä	F2013
Keskusta	3h, k, kph, p	kt	6450	129000	2000	1963	5/7	on	tyyd.	F2013
Keskusta	3h, k, s, wc, l...	kt	7750	139000	1794	1990	4/7	on	tyyd.	
Keskusta	Oh, k, rh, 3mh,...	kt	13800	240000	1739	1955	1/5	on	hyvä	F2013
Keskusta	4h, k, s, p	kt	9700	185000	1907	1985	4/8	on	tyyd.	
Keskusta	5h,k,s	kt	14400	475000	3299	1929	5/5	on		D2007
Keskusta	4h, k, kph, s, ...	kt	12100	393890	3255	1910	4/4	on	hyvä	G2013
Keskusta	5h, k, kph, 2wc...	kt	16600	345000	2078	1939	5/6	on	hyvä	
