Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Koivula	2h+k+lasit.p	kt	5500	66000	1200	1966	3/8	on		F2013
Herralahti	2h+k+s	rt	5900	110000	1864	2002		ei		D2007
Vanhakoivisto	2h, k, s	rt	6200	104000	1677	1998	1/1	ei	hyvä	G2013
Herralahti	2h+k	kt	5500	48250	877	1969	7/8	on		F2013
Herralahti	2h+k+p	kt	5500	49000	891	1968	5/8	on	tyyd.	F2013
Koivula	2h, k, p	kt	5400	101000	1870	1964	5/8	on	hyvä	F
Vanhakoivisto	3h+k+s	rt	7300	110500	1514	1984		ei	hyvä	E2013
Koivula	3h,k	kt	7300	75000	1027	1966	2/8	on	hyvä	F2013
Koivula	3h+k	kt	6300	78000	1238	1964	8/8	on	hyvä	F2013
Vanhakoivisto	4h, k, s	rt	9600	130000	1354	1990	-1/1	ei	hyvä	D2018
Vanhakoivisto	oh, k, 3mh, khh...	rt	9200	198000	2152	2014	1/1	ei	hyvä	
