Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Kruunuvuorenranta	2 h, kt, kph, p...	kt	5600	233956	4178	2016	5/5	on	hyvä	C2013
Laajasalo	2h + k	kt	5840	157000	2688	1970	3/3	ei	tyyd.	
Laajasalo	2h, kk, vh, kph	kt	5000	118000	2360	1970		ei	tyyd.	E2013
Laajasalo	3-4h, k+kph+las...	kt	7450	245000	3289	1990	1/3	ei	hyvä	F2013
Laajasalo	3h, k, kph, vh,...	kt	7120	167000	2346	1970	2/5	on	tyyd.	E2013
Laajasalo (hevossalmi)	3h+k	kt	5850	192000	3282	1990	2/3	ei	tyyd.	
Laajasalo	3h+k	kt	7050	204500	2901	1979	4/4	ei	hyvä	
Laajasalo	2-3 h, avok, s,...	rt	8300	328000	3952	1983	-1/2	ei	hyvä	E2011
Hevossalmi	3h,k,kph,s,wc,v...	rt	8300	328000	3952	1984	1/2	ei	tyyd.	B2007
Laajasalo	3h+k+vh+kph+wc+p	kt	7280	185500	2548	1970	1/3	on	hyvä	E2013
Kruunuvuorenranta, laajasalo	4h + kt + s	kt	8700	332500	3822	2016	2/5	on	hyvä	C2018
Laajasalo	4h, k, kph, las...	kt	8690	183000	2106	1969	3/3	ei	tyyd.	
Laajasalo	4h, k, wc, kph,...	kt	9350	149389	1598	1970	3/3	ei	tyyd.	F2013
Laajasalo	4h, k, s, ph, 2...	rt	10000	348000	3480	1983	-1/2	ei	hyvä	E2011
Laajasalo	4-6h, k, khh, s...	rt	15900	220000	1384	1972	1/1	ei	tyyd.	F2007
Laajasalo	2-3h+avok+rt+ty...	rt	12000	470000	3917	2001	-1/3	ei	hyvä	
