Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Tallinmäki	1h,kk,kph,teras...	kt	3600	43000	1194	1989	1/3	on	tyyd.	F2013
Keskusta	1h, k, s	kt	3750	51000	1360	1989	1/2	ei	hyvä	F2013
Keskusta	1h+tk	kt	4500	114885	2553	2018	1/4	on	hyvä	
Keskusta	1h+tk+ap	kt	4500	125800	2796	2018	2/4	on	hyvä	C2013
Keskusta	1h,kk,s,parv.	kt	3500	42500	1214	1992	2/5	on	huono	F2013
Ulvajanniemi	1h, kk	kt	3000	28000	933	1975	-1/3	ei	hyvä	D
Naakka	1h, kk, kph, vh	kt	3800	41000	1079	1973	7/7	on		C2013
Sointula	1h,kk,kph,patio	kt	3600	25000	694	1973	1/3	ei	hyvä	D2013
Keskusta	1h+tk+ap	kt	4500	129500	2878	2018	3/4	on	hyvä	C2013
Keskusta	1h, tupakeitti&...	kt	4300	50000	1163	1991	1/5	on	hyvä	E
Keskusta	1h,alk,kt	kt	4100	158700	3871	2019	1/8	on	hyvä	C2013
Sointula	2h, k, kph, las...	kt	5900	39000	661	1975	3/6	on	hyvä	E2013
Keskusta	2h, k, s	kt	5700	73000	1281	1985	2/3	ei	tyyd.	C2007
Tallinmäki	2h, kk, s	kt	5350	76000	1421	1989	1/3	on	tyyd.	F2013
Sointula	2h, k, wc, kph,...	rt	6500	92000	1415	1982		ei	tyyd.	F2013
Tallinmäki	2h,kk,kph,vh,et.	kt	4600	47000	1022	1962	1/3	ei	tyyd.	G2013
Kokkola	2h, k, kph, s	rt	6400	82000	1281	1990	1/1	ei	hyvä	F2013
Keskusta	2h, kk, s	kt	4600	88000	1913	1991	4/5	on	hyvä	F2013
Keskusta	2h,kk,s,et,tera...	kt	4200	62000	1476	1990	1/3	ei	tyyd.	C2007
Keskusta	2h,k,s,vh,las.p...	kt	6100	167500	2746	2012	1/5	on	hyvä	C2013
Kauppilanmäki	2h, kk, kph	kt	4500	62000	1378	1966	1/3	on	hyvä	F2013
Tallinmäki	2h,k,s,las.parv.	kt	5600	103000	1839	1990	3/3	on		F2013
Yrjölä	2h, k, kph, s	rt	6100	94000	1541	1984		ei	tyyd.	G2013
Keskusta	2h, k, s, kph, ...	kt	6000	175000	2917	2015	4/4	on	hyvä	B2007
Kaskela	2h,k,kph,vh,las...	kt	6300	50427	800	1973	1/3	ei	hyvä	B2007
Keskusta	2h,tk,kph,s,vh,...	kt	5300	174000	3283	2014	3/7	on	hyvä	A2013
Juhannusvuori	2h, k, s + AT	rt	6200	86000	1387	1988	1/1	ei	hyvä	D2007
Keskusta	2h, kt, s, lasi...	kt	5300	203000	3830	2018	6/8	on	hyvä	A2007
Sointula	2h, kk, kph/wc,...	kt	5100	44830	879	1972	1/3	ei	tyyd.	E2013
Keskusta	2h,k,kph,s,vh,l...	kt	5600	156500	2795	2013	2/4	on	hyvä	D2013
Kaskela	2h,k,kph,vh,las...	kt	6300	52000	825	1973	3/3	ei	hyvä	B2007
Keskusta	2h,tk,kph,s,vh,...	kt	5300	165000	3113	2014	3/7	on	hyvä	A2013
Tallinmäki	2h, k	kt	5550	57500	1036	1962	3/3	ei	hyvä	G2013
Kauppilanmäki	2h, k	kt	5600	57500	1027	1979	3/3	ei	hyvä	B2013
Sointula	2h,k,s,wc,vh,au...	rt	6600	98000	1485	1990	1/1	ei		E2013
Tallinmäki	2h, k	kt	5550	59000	1063	1962	1/3	ei	hyvä	G2013
Keskusta	2h+k	kt	5200	144705	2783	2018	4/4	on	hyvä	
Naakka	2h,k,kph,lasite...	kt	5700	49000	860	1974	1/7	on		D2013
Kaskela	2h,k,kph,vh,las...	kt	6200	32000	516	1972	3/3	ei		C2007
Naakka	2h, k	kt	5750	54000	939	1974	2/3	ei	hyvä	D
Keskusta	2h,kt,p	kt	5600	204500	3652	2019	1/8	on	hyvä	C2013
Keskusta	h,tupak.,s,lasi...	kt	4600	135000	2935	2012	1/5	on	hyvä	C2013
Keskusta	3h+k+s	kt	7800	190000	2436	2018	1/4	on	hyvä	C2013
Keskusta	3h,k,s	kt	8800	230089	2615	2018	3/4	on	hyvä	C2013
Tallinmäki	3h, k, kph, s, wc	kt	7400	103000	1392	1989	1/3	on	hyvä	F2013
Keskusta	3h, kt, kph, s	kt	6100	224000	3672	2018	7/8	on	hyvä	A2007
Sointula	3h, k, wc, kph,...	kt	7700	22000	286	1973	1/3	ei	huono	F2013
Naakka	3h, k, kph, p	kt	7200	69000	958	1974	3/7	on	hyvä	D2013
Yrjölä	3h, k, s	rt	7900	121000	1532	1986	1/1	ei	tyyd.	F2013
Naakka	3h, k, kph	kt	7200	72500	1007	1974	5/8	on	hyvä	D2013
Keskusta	3h,k,kph,las.parv.	kt	5900	55000	932	1957	2/3	ei		G2013
Laiska	3h,k,kph,s,wc,v...	rt	7600	135000	1776	1986	1/1	ei	hyvä	C2013
