Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Keljo	2H+K+S+lasit.pa...	kt	5000	118000	2360	1998	6/6	on	hyvä	F
Keljo	2h+kt	kt	4300	148000	3442	2018	3/5	on	hyvä	
Myllyjärvi	2h, k, s	kt	4650	138000	2968	2013	2/4	on	hyvä	D2013
Keljo	2h, kt, s, p	kt	4850	161100	3322	2018	5/5	on	hyvä	C2013
Ristonmaa	2h,k,kh,s,p	kt	5100	78000	1529	1988	2/2	ei	tyyd.	F2013
Keljo	2h+kt+s	kt	4900	160000	3265	2018	3/5	on	hyvä	
Keljo	3h,k,kph,s,eril...	rt	8300	167000	2012	1988	1/2	ei	hyvä	D2013
Keljo	3h,k,rt,khh,kh,...	rt	9000	137000	1522	1972	2/2	ei	tyyd.	
Keljo	3h, kt, wc, s, p	kt	7400	252840	3417	2018	5/5	on	hyvä	C2013
Keljo	3h+kt+s	kt	5700	192004	3368	2018	2/5	on	hyvä	
Ristonmaa	5h,k,khh,2xkh,p...	ok	18000	415000	2306	2001		ei	hyvä	
Ristonmaa	oh,k,3 mh,kirja...	ok	13900	210000	1511	1986	1/1	ei	tyyd.	D2018
Myllyjärvi	4h,k,kh,s,khh,t...	rt	9800	185000	1888	1992	1/2	ei	hyvä	E2013
Ristonmaa	4h,k,ym	ok	14000	91800	656	1955		ei	huono	E2013
Keljo	3-4h,k,kph,s,wc...	rt	9800	145000	1480	1988		ei	tyyd.	D2013
