Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Ollikkala	2h,kt,kph,s	kt	4700	50000	1064	1978	2/2	ei		E2013
Valhoja	2h,k,kph,s	rt	6500	68000	1046	1981	1/1	ei	tyyd.	E2007
Ollikkala	2h,k,kph	kt	6100	44000	721	1983	1/3	ei		
Valhoja	2h,k,s	rt	6000	65000	1083	1989	1/1	ei	tyyd.	C2007
Valhoja	2h,k,kph/wc,s	rt	5000	60000	1200	1986	1/2	ei	tyyd.	D2007
Ollikkala	2h, k, s	rt	5900	66000	1119	1977	1/1	ei	hyvä	D2015
Ollikkala	2h,k,kph	kt	5900	41000	695	1975	1/4	ei	tyyd.	D2007
Ollikkala	4h,k,2kph,s	kt	9500	65000	684	1971	1/2	ei	tyyd.	D2007
