Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Haukiluoma	1-2, tk, s, las...	kt	3800	85000	2237	1989	4/4	ei	tyyd.	B2007
Haukiluoma	1h+kk+alkovi+sauna	rt	3500	75000	2143	1982	1/1	ei		E2007
Haukiluoma	1h, kt, kph, la...	kt	2150	93500	4349	2017	3/4	on	hyvä	
Ikuri	3h, k, s	rt	7650	170000	2222	1981	1/1	ei	hyvä	D2013
Haukiluoma	3h, k, kph, s, ...	rt	8200	130000	1585	1984	1/1	ei	tyyd.	
Lintuviita	3h, k, s, kph/w...	rt	7600	205000	2697	1999	1/1	ei	hyvä	E2007
Haukiluoma	3h, k, kph, s, wc	rt	8200	145000	1768	1984	1/1	ei	hyvä	
Ikuri	3h,k,khh/kph/s/...	rt	7300	225000	3082	2014	1/2	ei	hyvä	B2013
Haukiluoma	3h, k, erill. w...	rt	7400	150000	2027	1980		ei		D2007
Lamminpää	3h, kt	kt	6800	194176	2856	2018	1/4	ei		C2018
Lamminpää	3-4h, k, kph, k...	rt	8400	191000	2274	1986	1/1	ei	hyvä	
Haukiluoma	3h, k, kph, s, p	kt	6050	155000	2562	2017	2/4	on	hyvä	
Ikuri	6h,k,2xwc,1xwc/...	ok	17100	280000	1637	1965		ei	hyvä	
Ikuri	4h, k, kph, s, ...	ok	11400	165000	1447	1976	-1/1	ei	tyyd.	
Ikuri	5h,ruok.tila,k,...	ok	15400	425000	2760	2011		ei	hyvä	A2007
Lintuviita	4h+k+saunaos.+a...	rt	9700	190000	1959	1970	1/1	ei		
Ikuri	5h, k, s, psh	ok	12000	186000	1550	1980	-1/2	ei	hyvä	D2018
Ikuri	4h, k, khh, kph...	ok	10500	220000	2095	1993	-1/1	ei	hyvä	D2018
Ikuri	6h, k, kph/s, p...	ok	15900	365000	2296	2018	-1/2	ei	hyvä	
Ikuri	4h, kt, s, 2 x ...	rt	7800	210000	2692	2017	-1/1	ei	hyvä	
