Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Keskusta	2h, k	kt	5900	90000	1525	1975	3/6	on	hyvä	F
Hovirinta	2h,k,kph,vh,p	kt	6000	80500	1342	1974	6/8	on	tyyd.	C2018
Keskusta	2h,k,kph,s,p	kt	5700	152000	2667	2007	4/6	on	hyvä	E2013
Hovirinta	2h,k,wc,vth,ph,...	kt	6300	117650	1867	1989	1/2	ei	tyyd.	C2007
Hovirinta	2h, k	kt	5700	108500	1904	1973	3/8	on	hyvä	B2018
Rauhalinna	2 h, k, kph, s, vh	rt	6250	142000	2272	1988	1/1	ei	tyyd.	E2018
Hovirinta	2h, k, lasitett...	kt	5700	88000	1544	1973	6/8	on	tyyd.	B2018
Hovirinta	2h,kk,kph,s,p	kt	4500	78000	1733	1989	3/3	ei	hyvä	F2013
Keskusta	2h,k,s,kph,vh,p,ak	kt	6000	145000	2417	2005	5/5	on	hyvä	D2013
Keskusta	2h,kk,vh,s,p	kt	4100	135000	3293	2006	5/6	on	hyvä	C2013
Kaarina	2h+k+kph/wc	kt	4750	113430	2388	2001	1/7	on	tyyd.	C2007
Kesämäki	2h,k,s,wc	rt	6400	149000	2328	1989	1/1	ei	hyvä	A2007
Keskusta	2h,kt,kph,s,p	kt	5900	198000	3356	2018	2/7	on	hyvä	C2013
Keskusta	2h,kk,s,kph,vh,p	kt	5200	135000	2596	2001	5/5	on	hyvä	D2013
Keskusta	2 h, k, kph, vh...	kt	6100	109000	1787	1984	3/5	ei	hyvä	
Mattelmäki	2h,k,vh,wc,kph,s,p	kt	6300	112000	1778	1987	2/2	ei	hyvä	B2007
Kaarina	2h,k,kph,s,vh,l...	kt	5700	138000	2421	2002	5/6	on	hyvä	C2007
Keskusta	2h, kk, s, parv.	kt	5900	169000	2864	2005	1/5	on	hyvä	B2013
Keskusta	2h,kt,s,parveke	kt	5800	212500	3664	2014	4/4	on	hyvä	A2013
Pohjola	2h,k,kph,s,vh,2...	rt	6300	177000	2810	1989	1/1	ei	hyvä	E2013
Keskusta	2h,k,kph/wc,s,w...	kt	9100	240000	2637	2008	2/6	on	hyvä	E2018
Kärki	2h,k,kph,s,vh,t...	rt	6500	183000	2815	2008	1/1	ei	hyvä	C2013
Keskusta	2h,k,kph,s,p	kt	5800	120000	2069	1987	5/6	on	hyvä	F2013
Keskusta	2 h,k,kph,p	kt	5900	75000	1271	1974	6/6	on	tyyd.	F2013
Hovirinta	2,kk,kph,s,p	kt	3500	70000	2000	1989	4/6	on	tyyd.	F2013
Mattelmäki	3-4h,k,khh,wc,k...	rt	10100	246000	2436	2000	1/1	ei	hyvä	A2007
Hovirinta	3h+k+s	kt	6800	113000	1662	1989	1/3	ei	hyvä	
Keskusta	3h,k,vh,s,p	kt	7700	228000	2961	2006	4/6	on	hyvä	C2013
Keskusta	3h,k,wc,ph,s,vh...	rt	8100	225000	2778	2010		ei	hyvä	D2018
Hovirinta	3h, k, kh, s, 2...	kt	7250	132000	1821	1985	3/3	ei	hyvä	F
Pohjola	3h+k+ph+wc	rt	10000	235000	2350	2017	1/1	ei	hyvä	
Hovirinta	3h+k+rt+2vh+wc/...	kt	9450	147000	1556	1975	7/8	on	hyvä	C2018
Kaarina	3 h, k, kph, vh, p	kt	7850	84000	1070	1976	3/6	on	tyyd.	F2013
Keskusta	3h,k,kph,s,vh,p	kt	6700	210000	3134	2008	5/6	on	hyvä	E2013
Nummenniitty	5-6h, k, s, kes...	rt	13200	245000	1856	1978	2/1	ei	hyvä	
Rauhalinna	4 mh, avok, oh,...	rt	19600	278000	1418	1974	1/1	ei	hyvä	
Vättilä	4h,k,2wc,ph,s,v...	rt	10000	200000	2000	1971	1/2	ei	hyvä	C2018
Kesämäki	4h,k,wc,pkh,ph,s	ok	8000	120000	1500	1947		ei	tyyd.	E2018
Kesämäki	4h,k,2wc,ask.h,...	ok	14000	59000	421	1965		ei	huono	
Rauhalinna	5h+k+s+ autotalli	rt	18900	256000	1354	1972	2/2	ei	tyyd.	
Kesämäki	6h+k+khh+s+ph+k...	ok	24600	559000	2272	2015	2/2	ei	hyvä	
Hulkkio	4-5h,k,ruokasal...	ok	31800	480000	1509	1993		ei	hyvä	E2018
Keskusta	4h,k,rt,wc,2vh,...	kt	11900	299000	2513	2004	6/6	on	hyvä	C2013
Kärki	4 h,k,s	rt	11000	230000	2091	1986		ei		E2013
Kärki	4h, k, s	rt	9300	244000	2624	2007	1/2	ei	hyvä	D
Koristo	6h, k, s, ph, k...	ok	17800	370000	2079	2007	-1/2	ei	hyvä	
Keskusta	4mh,oh,rt,k,khh...	rt	12500	428000	3424	2019		ei	hyvä	B2018
Hulkkio	5h,avok,ph,s,kh...	ok	12200	289500	2373	2019		ei	hyvä	C2013
Kaarina	4h+k+kph+2wc+vh+s	rt	9700	250000	2577	2004	1/1	ei	hyvä	D
Hulkkio	4h,avokeitti...	ok	8900	225000	2528	2019		ei	hyvä	B2018
