Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Huonesuo	2h, k, s	rt	5900	108000	1831	1987	1/1	ei	hyvä	E
Korvensuora	2h+k+at	rt	5900	81000	1373	1985	1/1	ei	hyvä	D2013
Kiulukangas	2h,k,s	kt	4800	123500	2573	2016	1/2	ei	hyvä	C2013
Kiulukangas	2h+k+s+ap	kt	5700	125000	2193	2015	2/2	ei	hyvä	C2013
Kiulukangas	2h+k+sa	kt	4500	123000	2733	2015	1/2	ei	hyvä	C2013
Kiulukangas	2h+k+s	rt	5500	140000	2545	2016	1/1	ei	hyvä	C2018
Kiulukangas	2h+kk+sa	kt	4500	123000	2733	2015	1/2	ei		C2013
Kiulukangas	2h, k, s	rt	5500	143100	2602	2016	1/1	ei	hyvä	C2018
Hönttämäki	2h,k,vh,ph,sauna	rt	6500	68000	1046	1980		ei	tyyd.	E2013
Talvikangas	2h, kk, s	kt	4500	86500	1922	2003	2/2	ei	hyvä	C
Hönttämäki	3h, k, s	rt	8100	110000	1358	1985	1/1	ei	hyvä	D
Talvikangas	3h, k, s	rt	8300	145000	1747	2001	-1/2	ei	hyvä	E2007
Talvikangas	3h, k, kph, s, ...	rt	7250	153000	2110	2009	1/1	ei	hyvä	B2007
Huonesuo	3h, k, kph, s, ...	rt	8750	134000	1531	1984	1/1	ei	hyvä	E2013
Talvikangas	3h,k,sa,ph,wc,ak	rt	6800	140200	2062	2003	1/1	ei	hyvä	E2007
Talvikangas	6h,k,kph,s,khh,...	ok	14800	250000	1689	2007	-1/2	ei	hyvä	
Talvikangas	4h, k, s	rt	9450	177500	1878	2001	-1/2	ei	hyvä	D2007
Talvikangas	4h, k, kph, s +...	rt	9300	185000	1989	2010	1/1	ei	hyvä	D2007
Huonesuo	4mh, oh, k, khh...	ok	13400	157000	1172	1987	-1/1	ei	tyyd.	D2018
Talvikangas	4h,k,sa,ph,khh,...	rt	10500	178000	1695	2007	1/2	ei	hyvä	D2013
Huonesuo	4h, k, khh, kph...	ok	11700	228000	1949	1996	-1/1	ei	hyvä	
Talvikangas	6mh, oh, kt, kp...	ok	18750	285000	1520	2007	-1/2	ei	hyvä	B2018
Huonesuo	5h, k, ph, s, w...	ok	11600	135000	1164	1981		ei	hyvä	
Huonesuo	3mh, oh, k, khh...	ok	11540	222000	1924	1995	-1/1	ei	hyvä	D2018
Talvikangas	3mh, th, oh, k,...	ok	15400	260000	1688	2007	-1/2	ei	hyvä	
Talvikangas	4h, k, s	rt	8900	162000	1820	2007	-1/2	ei	hyvä	D2007
Korvensuora	4h+k+s	rt	9700	156000	1608	1999	1/1	ei	hyvä	
Kiulukangas	4h, k, khh, vh,...	rt	9300	220000	2366	2015	-1/2	ei	hyvä	C2013
Huonesuo	5h, k, s + vh	ok	13200	215000	1629	1998	-1/1	ei	hyvä	C2018
Huonesuo	4h, k, khh, ph,...	ok	10550	189000	1791	1989	-1/1	ei	hyvä	
