Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Taulumäki	1h, kk, alkovi,...	kt	3000	22500	750	1961	1/3	ei	hyvä	F2013
Taulumäki	1 h + kk + kph	kt	3000	13000	433	1960	2/3	ei		D2007
Taulumäki	1 h + kk + kph	kt	3800	32000	842	1970	4/5	on		
Ahvensalmi	Liikehuoneisto/...	kt	33200	32000	96	1978	2/3	ei		E2018
Taulumäki	1h, k, kh, parveke	kt	3400	29000	853	1974	3/4	on	hyvä	G2013
Leunanmäki	1h, alkovi, kk,...	kt	3600	16000	444	1954	2/3	ei		E2013
Kuoppakangas	1h, kk, kph, p	kt	4000	24000	600	1962	2/6	on		F2013
Taulumäki	1h,kk,kph	kt	3200	24000	750	1976	3/4	on		F2013
Joutenlahti	1h, kk, kh	kt	3050	15500	508	1973	2/6	on	hyvä	F2013
Taulumäki	1h, kk, alkovi,...	kt	3500	65500	1871	1998	2/4	on	hyvä	F2013
Taulumäki	Tupakeittiö...	kt	5880	202500	3444	2017	1/4	ei	hyvä	C2013
Taulumäki	2h,k,kph	kt	5900	31500	534	1967	3/3	ei		F2013
Taulumäki	2 h + k + kph + p	kt	5600	19000	339	1961	5/5	on		F2013
Taulumäki	2h+kk+wc+p	kt	4600	22000	478	1967	1/2	ei		G2018
Kuoppakangas	2h, kk, kh, ran...	kt	3900	27000	692	1958	4/4	ei	hyvä	D2013
Taulumäki	2h+kk	kt	4200	48500	1155	1970	3/4	ei		G2013
Taulumäki	2h, k, kph, vh	kt	3800	21500	566	1955	2/3	ei		G2013
Kuoppakangas	2h+k	kt	5300	33000	623	1962	6/6	on	huono	F2013
Taulumäki	2h, k, kh, vh	kt	4750	33700	709	1956	3/3	ei	hyvä	F2013
Taulumäki	2h, k, kh, p	kt	5200	15000	288	1960	3/3	ei	tyyd.	D2007
Taulumäki	2h+k+s	kt	6000	26000	433	1948	2/3	ei	tyyd.	B2007
Joutenlahti	2h, k, kh, vh, ...	kt	5950	39000	655	1977	5/6	on	hyvä	F2013
Taulumäki	2h, k, kh, parveke	kt	5900	25000	424	1967	3/3	ei	tyyd.	F2013
Joutenlahti	2h, k, kph, vh	kt	6000	21000	350	1976	2/6	on		E2013
Taulumäki	2h, k, kh, lasi...	kt	4750	36500	768	1971	1/2	ei	tyyd.	F2013
Taulumäki	3h, kk, kh, las...	kt	6900	46000	667	1965	1/3	ei	hyvä	F2013
Taulumäki	3h, k, kh, vh, ...	kt	6700	60000	896	1971	4/4	on	hyvä	G2013
Joutenlahti	3h, k, kh, lasi...	kt	7400	53000	716	1984	3/6	on	hyvä	F2013
Taulumäki	3h, k, s	kt	6600	95000	1439	1981	1/2	ei		E2018
Taulumäki	3h, k	kt	7000	58000	829	1970	4/4	on		G2013
Taulumäki	3h, k, psh, s, ...	kt	7500	103000	1373	1998	2/4	on		F2013
Joutenlahti	3h, k, kh, wc, p	kt	7900	45000	570	1981	1/6	on	tyyd.	E2013
Taulumäki	3h, k, ph. eril...	kt	7250	70000	966	1974	4/4	on	hyvä	G2013
Taulumäki	3h, k, s	kt	7000	70000	1000	1990	2/2	ei		F2013
Kuoppakangas	2 * 3 h + k + w...	rt	15600	45000	288	1955		ei		
Leunanmäki	4h, k, kph, p	kt	10000	57000	570	1952	3/3	ei		D2013
