Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Mankkaa	3h+k+s	rt	7750	287122	3705	1984	2/2	ei	hyvä	
Mankkaa	3 h, k, s, khh,...	rt	7950	270000	3396	1984	1/1	ei	tyyd.	F
Mankkaa	3h, avokeitti...	rt	7700	315000	4091	1986	1/1	ei	hyvä	E2007
Mankkaa	3h+k+rt+s+kph+e...	rt	7750	304000	3923	1986	2/2	ei	hyvä	
Mankkaa	3h, k, s, aputilat	rt	7500	291000	3880	1980	1/1	ei	hyvä	
Mankkaa	3h, k, kh/s, wc...	rt	6900	215000	3116	1979	1/1	ei	tyyd.	C2007
Mankkaa	3h,avokeitti...	rt	6500	286000	4400	2008	1/1	ei	hyvä	E2014
Seilimäki	3h, k, s	rt	7700	295000	3831	1986	1/1	ei	hyvä	E2007
Mankkaa	5h+k+saunaos.+k...	rt	13300	475000	3571	1990	2/2	ei	hyvä	G
Mankkaa	4-5h+k+s+ph+khh	rt	13600	500000	3676	2006	2/2	ei	hyvä	
Mankkaa	4 h, k, kph, s,...	rt	7650	310000	4052	1981	-1/2	ei	hyvä	C
Mankkaa	5h+k+saunaos+ke...	rt	19000	420000	2211	1984	3/3	ei	hyvä	E2018
Mankkaa	4h, k, s, tkh, ...	ok	25900	680000	2625	2000		ei	hyvä	
Mankkaa	3-4 h, k, kph, ...	rt	9300	277000	2978	1978	1/1	ei	tyyd.	
Mankkaa	4 h, k, s, eril...	rt	9000	366000	4067	1984	1/1	ei	hyvä	F
Mankkaa	4 mh, oh, kunto...	rt	19600	760000	3878	2010	1/2	ei	hyvä	
Mankkaa	3-4 h, avok, s,...	rt	9150	296000	3235	1979	1/2	ei	hyvä	D2007
Mankkaa	4h+k+s+wc+parve...	rt	9700	368000	3794	1986	2/2	ei	hyvä	
Mankkaa	4h+k+tkh+phh+s+...	rt	12500	456000	3648	1998	1/2	ei	hyvä	E
Mankkaa	4-5h, k, kph, s...	rt	12700	270000	2126	1979	1/1	ei	tyyd.	
Mankkaa	4h, k, s, kph/w...	ok	9000	515000	5722	2015	1/1	ei	hyvä	C2013
Mankkaa	5h, k, saunaos....	rt	11500	490000	4261	2001	-1/2	ei	hyvä	C2007
Mankkaa	4h+k+s+var.	rt	9300	257000	2763	1985	-1/2	ei	tyyd.	
Mankkaa	5h, k, kph, khh...	ok	13100	790000	6031	2017	-1/2	ei	hyvä	B2013
Mankkaa	Oh, k, rt, 4mh,...	ok	19600	340000	1735	1992	-1/3	ei	tyyd.	
Mankkaa	3-4h,k,sauna, k...	ok	10700	440000	4112	1998	1/1	ei	hyvä	C
Mankkaa	4h, avok, kph, ...	rt	9650	477000	4943	2008	1/1	ei	hyvä	D2013
Mankkaa	4h, k, s	rt	9950	410000	4121	2003	1/1	ei	hyvä	
