Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Pihlajisto	1h+k+kph	kt	3250	122500	3769	1970	4/7	on	hyvä	
Pihlajamäki	1h,kk,parveke	kt	3450	107000	3101	1964	2/8	on	tyyd.	G
Pihlajamäki	1h, kk, kph, la...	kt	3450	135000	3913	1963	8/8	on	hyvä	
Pihlajamäki	1h, pk, kph, al...	kt	3450	103000	2986	1964	1/8	on	tyyd.	G2013
Pihlajisto	1 h, kk, kh, p	kt	3250	126000	3877	1975	3/7	on	tyyd.	D2007
Pihlajamäki	1h+kk+alk+parv	kt	3450	110000	3188	1964	8/8	on	tyyd.	G
Pihlajamäki	1h, kk	kt	2450	93000	3796	1963	2/4	ei	huono	F
Pihlajisto	1h, kk, p	kt	3300	119000	3606	1975	1/7	on	tyyd.	D2007
Pihlajamäki	2 h, ikkunallin...	kt	4050	157500	3889	1962	6/8	on	hyvä	E2013
Pihlajisto	2h, k, kph, las...	kt	5950	130000	2185	1971	4/6	on	tyyd.	F
Pihlajamäki	2h, k, kph, vh,...	kt	5950	159000	2672	1987	2/2	ei	hyvä	E
Viikinmäki	2H+KK+S	kt	4800	215000	4479	2005	2/8	on	hyvä	C2018
Pihlajamäki	2h, k, kph	kt	3950	145000	3671	1962	1/4	ei	hyvä	E2007
Pihlajamäki	2h, k, kph, vh,...	kt	6600	125000	1894	1965	1/8	on	tyyd.	E
Pihlajamäki	2h+k+kph+las.pa...	kt	5250	118000	2248	1964	1/3	ei	tyyd.	E2018
Pihlajisto	2h, k, kph, las...	kt	5950	129700	2180	1972	1/8	on	tyyd.	F
Pihlajamäki	2h + k + kh + w...	kt	6000	130000	2167	1964	1/4	ei	tyyd.	E2007
Pihlajisto	2h+k+p	kt	5050	135000	2673	1975	2/7	on	tyyd.	D2007
Pihlajamäki	2h+k+kph+wc+par...	kt	6000	112000	1867	1964	3/4	ei	tyyd.	E
Pihlajamäki	2h,k,parv.	kt	6000	163000	2717	1964	4/4	ei	tyyd.	E2007
Pihlajisto	2h, k, sauna, k...	kt	5550	129000	2324	1978	2/4	ei	hyvä	F2007
Pihlajamäki	2h, kk, vh, kph, p	kt	5550	162599	2930	1964	2/3	ei	hyvä	E2007
Pihlajamäki	2h+k+kh+WC+p	kt	6000	125000	2083	1965	4/4	ei	hyvä	E2007
Pihlajisto	2h, kk	kt	5280	117000	2216	1974	2/4	ei	tyyd.	D2007
Pihlajisto	2 h, k, kh, p	kt	5050	132000	2614	1975	7/7	on	tyyd.	D2007
Pihlajamäki	2h, kk,vh, kph,...	kt	5550	115000	2072	1962	2/8	on	hyvä	F2013
Pihlajamäki	2h,k,p	kt	6000	137000	2283	1963	1/4	ei	tyyd.	E
Pihlajisto	2 h, kk, kph/wc...	kt	5280	134000	2538	1974	3/4	on	hyvä	D2007
Pihlajamäki	2 h, k, kph, vh...	kt	4700	145000	3085	1977	2/5	on	hyvä	E2007
Pihlajamäki	2h, kk, kph, pa...	kt	4600	147200	3200	1964	6/8	on	tyyd.	E2007
Pihlajamäki	2h + kk , kph, ...	kt	4350	160000	3678	1986	4/4	on	hyvä	D
Pihlajamäki	2 h, k, kh, p	kt	6000	145000	2417	1964	2/4	ei	tyyd.	F2013
Viikinmäki	2h, k, kph, sau...	kt	6000	241095	4018	2004	2/8	ei	hyvä	
Pihlajamäki	2h+k+kph+p	kt	6250	166000	2656	1964	2/4	ei	hyvä	
Pihlajamäki	2h, kk, kph, vh...	kt	5500	143000	2600	1963	2/4	ei	hyvä	F
Pihlajamäki	2h, k, kph, vh,...	kt	6600	135000	2045	1963	7/8	on	tyyd.	E2007
Pihlajamäki	2h+k+kph+p	kt	5800	168000	2897	1965	2/4	ei	hyvä	
Pihlajamäki	2h+k+kph+las.pa...	kt	6000	177000	2950	1964	3/4	ei	hyvä	E2007
Viikinmäki	3h, k, kph/s, l...	kt	6550	288000	4397	2005	4/8	on	hyvä	E2013
Pihlajamäki	3-4 h, k, kh, p	kt	6750	149000	2207	1962	4/4	ei	tyyd.	E2013
Pihlajisto	3 h, k, kh, wc, p	kt	7050	130000	1844	1972	1/8	on	tyyd.	F2013
Pihlajamäki	3h+k+s+piha+las...	rt	8100	255000	3148	1982	2/2	ei	hyvä	
Pihlajamäki	3 h, k, kph, vh, p	kt	7100	159809	2251	1977	2/5	on	tyyd.	E2007
Pihlajisto	3h+k	kt	7100	163000	2296	1974	2/3	on	tyyd.	D2007
Pihlajisto	3h, k, kph, wc,...	kt	7450	165000	2215	1971	6/7	on	tyyd.	E2007
Viikinmäki	3h, k, s/ph, vh...	kt	8400	459000	5464	2011	2/4	on	hyvä	
Pihlajamäki	3H, K	kt	6950	184000	2647	1987	3/3	ei	hyvä	
Pihlajamäki	3h, avok., kph,...	kt	6950	188500	2712	1987	2/3	ei	hyvä	E
Pihlajamäki	3h+k+kh+parveke	kt	8000	198000	2475	1963	2/8	on	hyvä	E2007
Pihlajamäki	3h, k, kph/s, e...	rt	8100	271428	3351	1982	1/2	ei	hyvä	E2007
Pihlajamäki	3 h, k, kph, s,...	kt	7600	215000	2829	1987	2/4	ei	tyyd.	F2013
Pihlajamäki	3h+kk+kph/wc+la...	kt	7200	135000	1875	1963	6/6	on	tyyd.	F
