Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Pellilä	2h,k,s	rt	5500	110000	2000	2008	1/1	ei	hyvä	D2007
Pellilä	2h, k, s	rt	6000	132000	2200	2013	1/1	ei	hyvä	B
Pellilä	3h,k,s,ph	rt	7500	90000	1200	1991	1/1	ei	hyvä	G
Pellilä	3h+k+s+ph	rt	7500	80000	1067	1991	1/1	ei	hyvä	G
Jokioinen	3h,k,s	kt	6900	132500	1920	2008	1/3	on	hyvä	F
Jokioinen	3 h, k, s	rt	8000	112000	1400	1991	1/1	ei	hyvä	D
Pellilä	3h,k	kt	7200	45000	625	1973	2/3	ei	tyyd.	D2007
Pellilä	5h,k,rt,aula,khh,s	ok	17500	240000	1371	2007		ei	hyvä	
Pellilä	4h,k,s,at	ok	9400	65000	691	1967		ei		
Pellilä	5h,k,s,at,kellari	ok	9900	76000	768	1955		ei		
