Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Kyrö	2h,k,kph,s,var,...	rt	4900	50307	1027	1980	1/1	ei	tyyd.	C2018
Kyrö	2h,k,kph,sauna,...	rt	6000	72000	1200	1988	1/1	ei	hyvä	F2013
Kyrö	2h,k,kph,s,vh,v...	rt	6500	68000	1046	1980	1/1	ei	tyyd.	C2018
Kyrö	2h,k,kph,s,vh	rt	6800	80000	1176	1989	1/1	ei	hyvä	G2013
Kyrö	4h,k,kph,infras...	ok	8900	92000	1034	1948		ei	tyyd.	
Kyrö	4h, k, s	ok	12000	235000	1958	2010	-1/1	ei	hyvä	A
Kyrö	4h,k,kph,s,wc,khh	ok	11000	114500	1041	1996		ei	tyyd.	
