Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Lähderanta	2h,kt,s	kt	4450	205000	4607	2013	1/4	on	hyvä	C2018
Lippajärvi	2 h, k, kph, la...	kt	5050	151000	2990	1967	3/3	ei	tyyd.	
Lippajärvi	2h,k,kph	kt	4470	161500	3613	2014	1/4	on	hyvä	B2007
Laaksolahti	3-4h+kt+kph+s+khh	rt	7800	315196	4041	2019	1/1	ei	hyvä	B2018
Laaksolahti	3-4h+kt+kph+s+khh	rt	7800	304451	3903	2019	1/1	ei	hyvä	B2018
Laaksolahti	3h,k,s	rt	7100	254000	3577	1981	1/1	ei	hyvä	
Lippajärvi	3h, k, las parv,	kt	6950	175000	2518	1971	1/3	ei	tyyd.	G2015
Laaksolahti	3h, k, kph, eri...	kt	6500	175000	2692	1971	3/3	ei	hyvä	G2015
Lähderanta	3h, k, kh	kt	6600	153500	2326	1962	4/5	on	tyyd.	F2018
Viherkallio	3h, k	kt	7850	146800	1870	1969	3/3	ei	hyvä	E2013
Lippajärvi	3h + k	kt	6950	189100	2721	1971	1/3	ei	hyvä	
Lähderanta	3h, k, kph, las...	kt	6000	141000	2350	1962	3/3	ei	tyyd.	F2018
Lähderanta	3hk,kh,lasitett...	kt	6600	179000	2712	1964	3/6	ei	hyvä	
Laaksolahti	4h+kt+kph+s+khh	rt	8900	335125	3765	2019	-1/2	ei	hyvä	B2018
Laaksolahti	4h+k+kph+s+vh+e...	rt	11000	312000	2836	1984	-1/2	ei	tyyd.	F2015
Laaksolahti	4h+kt+kph+s+khh	rt	8900	326952	3674	2019	-1/2	ei	hyvä	B2018
Lähderanta	3-4h+k+kph	kt	8400	165000	1964	1962	1/2	ei	tyyd.	F2018
Laaksolahti	5h+k+th+s+autot...	rt	16650	465000	2793	2003	1/3	ei	hyvä	
Lähderanta	4 h, k, kh	rt	9000	263458	2927	1965	2/2	ei	hyvä	E2018
Lähderanta	4 h, k, kph, wc...	rt	9000	224000	2489	1965	1/2	ei	tyyd.	E2018
Lähderanta	4h, k, rt, kph,...	kt	8500	197000	2318	1962	3/7	ei	hyvä	F2018
Lippajärvi	4 h, k, s	rt	9950	278000	2794	1968	1/1	ei	tyyd.	F2007
Laaksolahti	4h+k+s	rt	11000	315000	2864	1984	1/2	ei	hyvä	F2013
Lippajärvi	5h, k, kph, s, wc	rt	12700	285000	2244	1984	1/1	ei	tyyd.	
Laaksolahti	4-5h, k, kph/s...	rt	11900	370000	3109	1981	1/1	ei	hyvä	
