Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Römmi	1h,kk,alk,s,vh,p	kt	4050	35167	868	1997	1/2	ei	tyyd.	E2007
Römmi	1h,kk,s,alk,vh	kt	4050	35167	868	1997	1/2	ei	tyyd.	E2007
Römmi	1h,kk,s,p	kt	4050	37000	914	1997	2/2	ei	tyyd.	E2007
Römmi	1h,kk,s	kt	4050	37000	914	1997	1/2	ei	tyyd.	E2007
Römmi	1h,kk,s,vh,p	kt	4050	35167	868	1997	1/2	ei	tyyd.	E2007
Römmi	2h,k,s	kt	5500	47000	855	1997	2/2	ei	hyvä	E2007
Karhunlähde	2h,k	kt	6000	44000	733	1969	1/3	ei	tyyd.	C2007
Karhunlähde	2h,k,s	kt	6350	65500	1031	1985	4/4	ei	hyvä	C2007
Likolahti	1h,kk,s	kt	4050	36000	889	1997	2/2	ei	tyyd.	
Römmi	2h,k,2	kt	5500	47000	855	1997	1/2	ei	tyyd.	E2007
Likolahti	2h,k,s	kt	5500	49500	900	1997	2/2	ei	hyvä	E2007
Likolahti	2h,k,kph,s,terassi	rt	6200	90000	1452	1983	1/1	ei	hyvä	F2013
Römmi	2h,kk,s	rt	5300	64375	1215	1990	1/1	ei	hyvä	F2013
Karhunlähde	3h,k	kt	7500	61500	820	1974	2/5	on	hyvä	C2007
Karhunlähde	3h,k	rt	7600	60000	789	1974	1/1	ei	tyyd.	
Likolahti	3h,k,s	kt	6900	57500	833	1997	2/2	ei		E2007
Karhunlähde	3h,k	kt	7450	45000	604	1974	5/5	on	tyyd.	D2007
Likolahti	2mh, oh, takkah...	ok	9500	127500	1342	1986		ei	hyvä	
Likolahti	3mh, oh, k, t...	ok	12000	80000	667	1990	1/1	ei	hyvä	
Likolahti	oh,k,th,2mh,s	ok	11700	108500	927	1988	1/1	ei	hyvä	
