Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Nummi	1h+kk+vh+kph+la...	kt	3000	124150	4138	1963	3/7	on	hyvä	G2013
Nummi	1h+kk+kph/wc+ra...	kt	2800	105000	3750	1960	3/4	ei	hyvä	E2007
Hannunniittu	1h,kk, p	kt	3500	82000	2343	1964	2/2	ei	hyvä	G
Nummi	1h+kk	kt	2700	105000	3889	1958	3/10	on		D2007
Hannunniittu	1h, k, p	kt	3500	76000	2171	1964	1/2	on	hyvä	G2014
Nummenmäki	1h	kt	1450	36000	2483	1927	1/3	ei	huono	
Nummi	1h,kk,kph,lasit.p	kt	2700	103000	3815	1958	5/10	on	hyvä	D2007
Jaani	1h+kk+p	kt	3300	67500	2045	1968	3/8	on	tyyd.	E2013
Nummi	1h,k,kph,wc	kt	3100	84000	2710	1930	1/3	ei	hyvä	
Kohmo	2-3h,k,s,erill....	kt	7050	125500	1780	1994	6/7	on		E2013
Nummi	2h+k+s	kt	5250	240000	4571	2018	5/6	on	hyvä	C2018
Nummi	2h+kk+kh	kt	5300	136500	2575	1958	8/10	ei	hyvä	
Nummi	1 h,k +alakerta...	rt	3700	51000	1378	1932		ei	huono	G2007
Itäharju	2h,k,kph,erill....	kt	5700	82000	1439	1969	4/8	on	tyyd.	E2018
Kohmo	2 h,k,s,lasit. p	kt	6800	117924	1734	1992	4/4	on	tyyd.	D2013
Hannunniittu	2h,k,kph,vh	kt	4200	96000	2286	1968	3/6	on	hyvä	F2013
Nummi	2h,k,kph,p	kt	6300	125000	1984	1956	3/4	ei	tyyd.	F2013
Kurala	2h,kk,kph,vh	kt	4200	95000	2262	1966	1/7	on	tyyd.	F2013
Itäharju	2h,k,erill.wc,k...	kt	5700	85000	1491	1969	4/8	on	hyvä	E2013
Hannunniittu	2h,k,vh,kph,sauna	rt	6100	140688	2306	1984	1/1	ei	tyyd.	A2007
Nummi	2h, kt, p	kt	3700	169000	4568	2018	2/8	on	hyvä	C2013
Littoinen	2h,k,s	rt	6100	154824	2538	1983	1/1	ei	tyyd.	
Hannuniittu	2h,k,kh,lasit.p...	kt	5900	104256	1767	1969	7/7	ei		
Nummi	2h+kk+kph+parveke	kt	4900	84500	1724	1971	3/3	ei	tyyd.	F2013
Hannunniittu	2h, k	kt	6150	98000	1593	1976	5/6	on	tyyd.	E2013
Halinen	3 h,k,s	kt	7900	132000	1671	1991	1/2	ei	hyvä	F2013
Littoinen	3h+k+s	rt	7350	177000	2408	1985	1/1	ei	hyvä	
Hannunniittu	3h,k,kph,parv	kt	6800	156000	2294	1968	3/7	on	hyvä	F2013
Hannunniittu	3h+k	kt	6800	127000	1868	1964	1/6	ei	hyvä	
Hannunniittu	3h, k, wc/kph, ...	kt	6950	133500	1921	1966	4/7	on	hyvä	F
Hannunniittu	4h, k, wc, vh, ...	rt	9400	200000	2128	1983	1/2	ei	hyvä	
Kausela	3h+k+s+erilline...	rt	7600	165000	2171	1985	1/1	ei	hyvä	F2013
Hannunniittu	3h, k	kt	7700	108000	1403	1969	2/7	on	tyyd.	F
Littoinen	3h+k+kph+s+wc+vh	rt	7200	177000	2458	1983		ei	tyyd.	B2007
Littoinen	3h+k+vh+wc+kph+s	rt	7200	180000	2500	1983		ei	tyyd.	
Halinen	3h, k, WC, kph, s	rt	7800	154000	1974	1991	1/1	ei	hyvä	E2013
Jaani	3h+k+p	kt	6600	149000	2258	1966	4/4	ei	hyvä	F2013
Hannunniittu	3h,k,kph,p	kt	6600	148000	2242	1968	4/7	on	hyvä	D2013
Nummenmäki	3h, kk, kh	kt	7000	158000	2257	1958	6/10	on	hyvä	D2007
Auranlaakso	4h+k+s+huonetila	rt	11000	180000	1636	1985	1/2	ei	hyvä	E2013
Itäharju	6h, k, s, khh, ...	ok	19700	490000	2487	1998	-1/2	ei	hyvä	
Itäharju	4h,k,kph,khh	ok	9000	222000	2467	1927		ei	hyvä	E2018
Itäharju	4h, k, s	ok	8700	185000	2126	1951	-1/2	ei	tyyd.	
Kurala	4h, k, s	rt	14650	162000	1106	1962	3/1	ei	hyvä	E2018
Nummi	5 h, k, kph, s.	rt	10900	244000	2239	1981	2/2	ei	hyvä	
Itäharju	6h, k, s	ok	16000	388000	2425	1993	-1/1	ei	hyvä	
Halinen	4h,k,s,erill.wc	rt	9150	232000	2536	2000	1/1	ei	hyvä	
Keskusta itä	3-4h+k+s+kh+par...	kt	8250	215000	2606	1963	4/7	ei	hyvä	
Hannunniittu	4h+k	kt	9200	108000	1174	1974	2/7	on		F2007
Nummi	mh, oh, k, 2 x ...	kt	9650	190000	1969	1985	1/2	ei	tyyd.	G2013
Hannunniittu	4-5 h,k,s	rt	11800	330000	2797	2007		ei		D2007
Hannunniittu	4h+k+erill.wc+vh+p	kt	9200	149000	1620	1974	4/7	on	hyvä	F2013
