Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Kiviranta	3h+avok+s	kt	7350	160000	2177	2014	1/3	on	hyvä	
Kiviranta	3h+k+s+vh	rt	7150	122000	1706	2013	1/1	ei	hyvä	
Kiviranta	3h,k,s	rt	8000	78000	975	1979	1/1	ei	hyvä	D2013
Kiviranta	3h,k,kph,s	rt	7400	104209	1408	1989	1/1	ei	hyvä	F2013
Kiviranta	4h,k,th,ph,s	ok	11100	75000	676	1972	-1/1	ei	hyvä	E2018
Kiviranta	k,oh,3mh,askart...	ok	11900	100000	840	1978	-1/1	ei	hyvä	
Kiviranta	3mh,oh,k,wc,ph/s	ok	11400	115000	1009	1978	1/1	ei	hyvä	E
Kiviranta	4h, k, tvh, ph, s	ok	11250	105000	933	1971	-1/1	ei	hyvä	
Kiviranta	4h,k	rt	9100	45000	495	1969	1/1	ei	huono	
Kiviranta	3mh, k, oh, ph, s	ok	15170	29000	191	1967	-1/1	ei	hyvä	
