Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Pikku-huopalahti	2h, kk	kt	4450	322000	7236	2005	3/4	on	hyvä	F2014
Pikku huopalahti	2h+kk+sauna/kph...	kt	5100	275000	5392	1995	3/3	ei	hyvä	
Pikku-huopalahti	2h+k+kph/s+vh+p	kt	6100	294000	4820	1994	1/3	ei	hyvä	F2013
Etelä-haaga	2h+k+p	kt	5700	278000	4877	1959	2/3	ei	hyvä	F2007
Pikku huopalahti	3h, avok, sauna...	kt	8200	367000	4476	1992	1/3	ei	hyvä	
Pikku huopalahti	3h, k, s, kph, ...	kt	7350	455000	6190	2005	5/6	on	hyvä	F2014
Pikku-huopalahti	3 h, k, p	kt	6950	272926	3927	1990	2/3	ei	hyvä	F2013
Etelä-haaga	3h, k, kph, vh,...	kt	6500	325000	5000	1959	1/3	ei	hyvä	F2007
Etelä-haaga	3h, k, p	kt	5900	231000	3915	1959	1/3	ei	hyvä	
Etelä-haaga	4h, k, 2 erill....	rt	12000	535000	4458	1960	3/3	ei	hyvä	E2007
Pikku-huopalahti	4h, k, kh/s, wc...	kt	9800	528000	5388	2005	4/5	on	hyvä	F2013
Pikku-huopalahti	4h+k+s	kt	9600	515000	5365	2005	1/5	on	hyvä	E2007
Pikku huopalahti	4h+k+terassipiha	kt	9750	335000	3436	1995	1/2	ei	tyyd.	
