Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Kangasniemi	1h,kk,s	kt	3800	36000	947	1985	2/3	on	tyyd.	D2007
Kangasniemi	1h,k,s	rt	3500	36000	1029	1991		ei	hyvä	E2007
Kangasniemi	1h,kk	kt	3300	7000	212	1976	3/3	ei	huono	D2007
Kangasniemi	1h,k,s	kt	3500	30000	857	1990	1/2	ei	hyvä	C2007
Kangasniemi	1h,kk	kt	4000	17000	425	1975	1/3	ei	tyyd.	D2007
Kangasniemi	1h,kk	kt	3300	14000	424	1975	2/2	ei	tyyd.	D2007
Kangasniemi	1h,kk,s	rt	3800	22000	579	1985		ei	tyyd.	D2007
Kangasniemi	2h,k,s	kt	5100	30000	588	1990	1/2	ei	tyyd.	C2007
Kangasniemi	2h,kk	kt	4900	14000	286	1974	2/2	ei	huono	E2007
Kangasniemi	2h,k	kt	5700	21500	377	1975	2/2	ei	huono	D2007
Kangasniemi	2h, k, s	kt	5750	13000	226	1976	3/3	ei	tyyd.	D2007
Kangasniemi	2h,k	kt	5500	33000	600	1973	2/2	ei	hyvä	D2007
Kangasniemi	2h,k	kt	5100	24000	471	1974	2/3	ei	tyyd.	C2007
Kangasniemi	2h,k	kt	6100	28100	461	1976	1/3	ei		D2007
Kangasniemi	2h,k	kt	6100	30500	500	1974	2/2	ei	hyvä	E2007
Kangasniemi	2h,k	kt	5700	46500	816	1975	1/2	ei	hyvä	D2007
Kangasniemi	3h,k,s	kt	7600	130000	1711	1985	1/3	on	hyvä	C2007
Kangasniemi	3h,k	kt	6900	33000	478	1970	2/3	ei		D2007
Kangasniemi	3h,k,s	rt	8000	45000	563	1969		ei	tyyd.	G2007
Kangasniemi	3h+k	rt	7000	38000	543	1969		ei	huono	E2007
