Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Keskusta	1h,k,kph	kt	2800	39001	1393	1963	4/6	on	hyvä	D2007
Hirsimäki	1h, kk, kph	kt	3300	52000	1576	1970	2/3	ei	hyvä	F
Harjukylä	1h,k	kt	4300	50000	1163	1954	2/3	ei		D2007
Suokylä	1h,k,vh,p	kt	3100	44500	1435	1970	3/5	on	hyvä	D2007
Peltokylä	1h,kk, kh	kt	2500	35000	1400	1959	2/3	ei		F2013
Harjukylä	1h, k, kph/wc, ...	kt	3700	74000	2000	1974	3/8	on	hyvä	E
Keskusta	1h,kk,vh,kh	kt	2650	48000	1811	1960	3/3	ei	tyyd.	E2013
Koivistonmäki	2h, k, kph/wc, ...	kt	4900	40000	816	1963	2/6	on	hyvä	D2007
Keskusta	2h,k,kph	kt	6000	80500	1342	1960	3/3	ei	hyvä	D2007
Koivistonmäki	2h, k, kph/wc, ...	kt	5600	61000	1089	1969	4/4	on	hyvä	
Koivistonmäki	2h+k+kph	kt	4700	38500	819	1963	2/2	ei	huono	
Koivistonmäki	2h,k,s,ak/var	rt	6300	118000	1873	1986		ei		B2007
Peltokylä	2h, k, kph	kt	4000	61500	1538	1960	2/4	on	hyvä	E2015
Hirsimäki	2h+k+s+läm...	rt	6250	149500	2392	1990	1/1	ei	hyvä	
Hirsimäki	2h,k,s,psh,wc,p	kt	5500	90000	1636	1985	2/3	ei	hyvä	D2013
Koivistonmäki	2h, k, kph, par...	kt	5700	100000	1754	1951	4/4	ei	hyvä	C
Suokylä	2h, kk, s, psh/...	kt	4600	125000	2717	2007		on	hyvä	F2013
Keskusta	2h+k	kt	5300	60000	1132	1967	2/3	on		F2013
Koivistonmäki	2h, k, s, p	kt	6200	115000	1855	1986	2/3	ei	hyvä	B2007
Koivistonmäki	2h, kk, kph/s, ...	kt	5100	85000	1667	1990	2/3	on	tyyd.	
Peltokylä	2h,k,s,parv	kt	6000	87000	1450	1986	3/3	ei		F2013
Harjukylä	2h, k, s, psh, ...	kt	5500	109000	1982	1992		on	hyvä	C
Harjukylä	2h,kk,kph/wc,vh...	kt	4300	90500	2105	1957	4/4	on	hyvä	D2007
Peltokylä	2h, kk, kph/wc,...	kt	4750	39500	832	1969	3/3	ei	hyvä	G
Keskusta	2h,k,kph/wc,vh	kt	5300	50000	943	1962	2/5	on		E2007
Keskusta	2h, kk, kph/s, ...	kt	5500	125500	2282	2001	1/3	on	hyvä	D2007
Keskusta	2h+k	kt	4100	65000	1585	1969	1/6	on		D2007
Suokylä	2h, k, kph/wc, ...	kt	5400	50000	926	1962	4/5	on	hyvä	E2007
Koivistonmäki	2 h, k, kph/wc,...	kt	5800	107000	1845	1967	1/5	on	hyvä	C
Koivistonmäki	2h, kk, kph, vh	kt	4400	26000	591	1963	2/3	ei	hyvä	E
Keskusta	2h, k, kph/wc, ...	kt	5800	112000	1931	1967	4/5	ei	hyvä	C
Keskusta	2h,k,kph	kt	5000	81000	1620	1950	3/3	ei		D2007
Koivistonmäki	3h, k, s, kph/w...	kt	7300	90000	1233	1979	3/3	ei	hyvä	F
Keskusta	3h + k + s + pa...	kt	7700	155000	2013	2001	2/4	on	hyvä	F2013
Peltosaari	3h, k, kph/wc, ...	kt	7650	50000	654	1973	3/4	ei	tyyd.	G
Harjukylä	3h+k+kh+p	kt	7300	127000	1740	1957	4/4	ei	tyyd.	
Kirjaus	3h,k	kt	6100	108657	1781	1975	3/3	ei		D2007
Keskusta	3h,k,kph/wc,vh	kt	7900	102000	1291	1975	4/4	on		D2007
Harjukylä	3h, k, kph, wc	kt	6200	45000	726	1938	2/2	ei	hyvä	
Keskusta	3h,k,s ullakkoa...	kt	8800	250000	2841	1960	6/6	on	hyvä	E2007
Koivistonmäki	3h, k, kph, 2vh...	kt	6690	109000	1629	1959	2/3	ei	hyvä	D2007
Harjukylä	3h, k, psh/wc, ...	kt	8450	257000	3041	2008	5/6	on	hyvä	E
Peltokylä	3h,k	kt	7400	50000	676	1960	4/5	on		E2007
Koivistonmäki	3h,kt	kt	6100	155000	2541	1961	3/5	on	hyvä	D2007
Koivistonmäki	4h, k, psh, s, ...	kt	9250	125000	1351	1976	2/4	on	hyvä	D2007
Keskusta	4h, k, vh, psh,...	kt	7300	61500	842	1964	5/6	on	hyvä	D2007
