Postal code	Free-time residences	Buildings, total	Other buildings	Residential buildings	Dwellings	Average floor area	Dwellings in small houses	Dwellings in blocks of flats	Aged 18 or over, total	Basic level studies	With education, total	Matriculation examination	Vocational diploma	Academic degree - Lower level university degree	Academic degree - Higher level university degree	Inhabitants, total, 2017	Inhabitants aged 18-64, 2017	Employment rate %, 2017	Unemployment rate %, 2017	Economic dependency ratio, 2017	Inhabitants, total	Females	Males	Average age of inhabitants	Households, total	Average size of households	Occupancy rate	Young single persons	Young couples without children	Households with children	Households with small children	Households with children under school age	Households with school-age children	Households with teenagers	Adult households	Pensioner households	Households living in owner-occupied dwellings	Households living in rented dwellings	Households living in other dwellings	Area	Density	Surface area	0-15 years	16-34 years	35-64 years	65 years or over
07390	132.0	63.0	7.0	56.0	49.0	116.3	49.0	0.0	96.0	26.0	70.0	6.0	48.0	13.0	3.0	126.0	69.0	75.4	5.5	142.0	126.0	55.0	71.0	43.0	48.0	2.6	43.0	0.0	0.0	14.0	4.0	8.0	7.0	5.0	17.0	17.0	46.0	0.0	2.0	 Suurpellinki   (Porvoo )	1.3013735274597044e-05	1.3013735274597044e-05	27.0	20.0	52.0	27.0
07410	58.0	208.0	29.0	179.0	162.0	118.5	162.0	0.0	256.0	86.0	170.0	9.0	108.0	28.0	25.0	306.0	165.0	78.8	8.5	135.0	306.0	158.0	148.0	49.0	145.0	2.1	55.4	4.0	1.0	28.0	6.0	12.0	13.0	11.0	56.0	62.0	139.0	1.0	5.0	 Kråkö   (Porvoo )	5.7663747612183776e-05	5.7663747612183776e-05	45.0	40.0	130.0	91.0
07450	87.0	236.0	31.0	205.0	204.0	110.1	194.0	10.0	330.0	88.0	242.0	12.0	185.0	33.0	12.0	418.0	235.0	75.3	7.3	135.0	418.0	213.0	205.0	43.0	169.0	2.4	47.6	5.0	4.0	47.0	14.0	21.0	22.0	21.0	63.0	64.0	156.0	8.0	5.0	 Voolahti   (Porvoo )	3.216186435402857e-05	3.216186435402857e-05	79.0	70.0	174.0	95.0
07500	33.0	419.0	43.0	376.0	501.0	97.4	501.0	0.0	855.0	245.0	610.0	37.0	450.0	79.0	44.0	1154.0	636.0	80.0	7.1	125.0	1154.0	591.0	563.0	40.0	474.0	2.4	41.3	27.0	17.0	144.0	40.0	69.0	70.0	64.0	187.0	144.0	360.0	102.0	12.0	 Askola Kirkonkylä   (Askola )	5.8513403600460534e-05	5.8513403600460534e-05	269.0	220.0	446.0	219.0
07510	58.0	367.0	58.0	309.0	298.0	102.7	283.0	15.0	528.0	137.0	391.0	24.0	291.0	51.0	25.0	684.0	414.0	75.6	10.3	117.0	684.0	317.0	367.0	41.0	287.0	2.4	42.8	10.0	8.0	74.0	17.0	41.0	37.0	31.0	131.0	83.0	256.0	26.0	5.0	 Vakkola   (Askola )	2.474150999967554e-05	2.474150999967554e-05	137.0	120.0	313.0	114.0
07530	60.0	208.0	27.0	181.0	149.0	97.6	149.0	0.0	234.0	81.0	153.0	16.0	110.0	19.0	8.0	286.0	152.0	79.6	9.0	131.0	286.0	138.0	148.0	46.0	136.0	2.1	46.6	5.0	4.0	28.0	6.0	8.0	15.0	16.0	54.0	57.0	131.0	1.0	4.0	 Onkimaa   (Askola )	7.866314461146457e-06	7.866314461146457e-06	46.0	41.0	117.0	82.0
07550	55.0	160.0	14.0	146.0	137.0	108.8	137.0	0.0	229.0	58.0	171.0	11.0	140.0	13.0	7.0	296.0	171.0	74.3	11.8	131.0	296.0	139.0	157.0	40.0	122.0	2.4	46.4	4.0	3.0	32.0	10.0	16.0	16.0	13.0	49.0	42.0	112.0	8.0	2.0	 Torpinkylä   (Pukkila )	1.485150800004576e-05	1.485150800004576e-05	61.0	63.0	114.0	58.0
07560	170.0	701.0	107.0	594.0	692.0	95.4	678.0	14.0	1050.0	324.0	726.0	40.0	590.0	58.0	38.0	1351.0	748.0	75.1	10.4	139.0	1351.0	674.0	677.0	43.0	619.0	2.1	44.5	23.0	9.0	143.0	32.0	63.0	67.0	66.0	266.0	215.0	488.0	109.0	22.0	 Pukkila Keskus   (Pukkila )	1.596272808150836e-05	1.596272808150836e-05	261.0	218.0	570.0	302.0
07565	72.0	170.0	22.0	148.0	120.0	109.8	120.0	0.0	210.0	57.0	153.0	7.0	123.0	17.0	6.0	248.0	149.0	75.2	10.4	114.0	248.0	110.0	138.0	46.0	111.0	2.2	51.4	1.0	1.0	19.0	5.0	10.0	9.0	8.0	51.0	43.0	105.0	3.0	3.0	 Kantele   (Pukkila )	6.5986990026332524e-06	6.5986990026332524e-06	33.0	42.0	112.0	61.0
07580	13.0	57.0	14.0	43.0	41.0	112.2	41.0	0.0	60.0	21.0	39.0	0.0	32.0	5.0	2.0	77.0	48.0	75.0	14.3	114.0	77.0	39.0	38.0	42.0	36.0	2.1	54.9	1.0	1.0	10.0	5.0	5.0	1.0	4.0	17.0	9.0	34.0	1.0	1.0	 Tiilää   (Askola )	8.516635477715227e-06	8.516635477715227e-06	16.0	12.0	37.0	12.0
07590	135.0	325.0	44.0	281.0	268.0	116.4	268.0	0.0	478.0	124.0	354.0	23.0	272.0	28.0	31.0	631.0	363.0	79.3	7.7	119.0	631.0	305.0	326.0	41.0	254.0	2.5	47.6	6.0	2.0	73.0	21.0	36.0	33.0	30.0	99.0	83.0	243.0	10.0	1.0	 Huuvari-Tiilää   (Askola )	1.8519796870406734e-05	1.8519796870406734e-05	134.0	115.0	267.0	115.0
07600	407.0	950.0	149.0	801.0	867.0	98.1	867.0	0.0	1388.0	457.0	931.0	56.0	721.0	96.0	58.0	1728.0	923.0	73.0	12.4	151.0	1728.0	893.0	835.0	45.0	792.0	2.1	46.2	10.0	13.0	172.0	34.0	80.0	91.0	75.0	305.0	323.0	644.0	135.0	13.0	 Myrskylä Keskus   (Myrskylä )	1.0834757631613274e-05	1.0834757631613274e-05	310.0	281.0	672.0	465.0
07680	171.0	298.0	34.0	264.0	258.0	101.4	255.0	3.0	410.0	120.0	290.0	16.0	238.0	23.0	13.0	529.0	305.0	78.7	8.4	120.0	529.0	249.0	280.0	42.0	225.0	2.4	42.8	7.0	3.0	56.0	16.0	27.0	26.0	22.0	94.0	77.0	207.0	13.0	5.0	 Juornaankylä   (Askola )	9.274367361478077e-06	9.274367361478077e-06	101.0	97.0	226.0	105.0
07690	69.0	106.0	16.0	90.0	70.0	107.4	70.0	0.0	119.0	34.0	85.0	5.0	71.0	6.0	3.0	131.0	82.0	68.3	15.2	130.0	131.0	65.0	66.0	48.0	64.0	2.0	56.1	1.0	5.0	7.0	0.0	3.0	2.0	3.0	31.0	27.0	56.0	6.0	2.0	 Kankkila   (Myrskylä )	4.540463344232871e-06	4.540463344232871e-06	10.0	26.0	58.0	37.0
07700	60.0	483.0	68.0	415.0	602.0	93.0	518.0	84.0	921.0	266.0	655.0	43.0	480.0	80.0	52.0	1205.0	737.0	78.2	9.6	107.0	1205.0	604.0	601.0	39.0	546.0	2.2	42.1	29.0	35.0	148.0	37.0	69.0	69.0	65.0	263.0	139.0	395.0	147.0	4.0	 Koskenkylän saha-alue   (Loviisa )	2.94185826078072e-05	2.94185826078072e-05	255.0	255.0	511.0	184.0
07720	8.0	60.0	13.0	47.0	49.0	79.5	45.0	4.0	68.0	24.0	44.0	2.0	31.0	8.0	3.0	81.0	49.0	73.5	5.3	119.0	81.0	45.0	36.0	48.0	37.0	2.2	41.1	0.0	0.0	8.0	3.0	3.0	3.0	4.0	14.0	15.0	33.0	3.0	1.0	 Malmgård   (Loviisa )	3.923821286507645e-06	3.923821286507645e-06	11.0	12.0	39.0	19.0
07740	128.0	247.0	31.0	216.0	198.0	112.8	192.0	6.0	326.0	92.0	234.0	18.0	164.0	26.0	26.0	414.0	251.0	74.9	7.8	116.0	414.0	197.0	217.0	42.0	183.0	2.3	51.3	4.0	2.0	42.0	12.0	27.0	20.0	16.0	84.0	57.0	162.0	12.0	9.0	 Gammelby   (Loviisa )	6.672976874298976e-06	6.672976874298976e-06	82.0	69.0	188.0	75.0
07750	622.0	344.0	64.0	280.0	313.0	97.3	282.0	31.0	436.0	155.0	281.0	23.0	209.0	31.0	18.0	528.0	303.0	72.9	10.5	135.0	528.0	251.0	277.0	46.0	259.0	2.0	47.6	11.0	4.0	53.0	12.0	28.0	26.0	19.0	109.0	98.0	212.0	43.0	4.0	 Isnäs   (Loviisa )	7.453083159116338e-06	7.453083159116338e-06	84.0	82.0	229.0	133.0
07780	496.0	173.0	27.0	146.0	110.0	97.8	110.0	0.0	142.0	49.0	93.0	1.0	76.0	8.0	8.0	166.0	84.0	77.4	5.8	155.0	166.0	78.0	88.0	52.0	91.0	1.8	52.8	4.0	1.0	10.0	2.0	4.0	7.0	5.0	37.0	44.0	80.0	7.0	4.0	 Härkäpää   (Loviisa )	5.5091752326597705e-06	5.5091752326597705e-06	22.0	20.0	66.0	58.0
07800	44.0	413.0	83.0	330.0	515.0	82.5	511.0	4.0	721.0	274.0	447.0	28.0	337.0	50.0	32.0	881.0	440.0	74.3	12.6	166.0	881.0	477.0	404.0	47.0	438.0	2.0	44.7	21.0	5.0	90.0	21.0	46.0	46.0	35.0	153.0	199.0	254.0	170.0	14.0	 Lapinjärvi Keskus   (Lapinjärvi )	2.9827006746455883e-05	2.9827006746455883e-05	143.0	135.0	322.0	281.0
07810	61.0	199.0	45.0	154.0	148.0	96.8	139.0	9.0	231.0	85.0	146.0	7.0	123.0	7.0	9.0	281.0	162.0	74.7	10.4	127.0	281.0	125.0	156.0	45.0	132.0	2.1	46.4	7.0	3.0	26.0	6.0	11.0	11.0	14.0	57.0	49.0	117.0	13.0	2.0	 Ingermaninkylä   (Lapinjärvi )	6.633653577484522e-06	6.633653577484522e-06	44.0	45.0	123.0	69.0
07820	164.0	336.0	43.0	293.0	287.0	92.9	283.0	4.0	416.0	160.0	256.0	16.0	198.0	21.0	21.0	491.0	260.0	69.6	11.3	167.0	491.0	245.0	246.0	49.0	248.0	2.0	48.9	9.0	2.0	43.0	10.0	20.0	18.0	16.0	97.0	110.0	205.0	36.0	7.0	 Porlammi   (Lapinjärvi )	7.971715379692481e-06	7.971715379692481e-06	67.0	78.0	190.0	156.0
07830	58.0	201.0	28.0	173.0	145.0	100.9	145.0	0.0	225.0	78.0	147.0	8.0	110.0	16.0	13.0	275.0	167.0	76.0	8.0	115.0	275.0	130.0	145.0	45.0	127.0	2.2	48.3	5.0	4.0	27.0	7.0	11.0	12.0	13.0	56.0	44.0	111.0	13.0	3.0	 Pukaro   (Lapinjärvi )	6.361119652359952e-06	6.361119652359952e-06	44.0	45.0	128.0	58.0
07840	21.0	134.0	13.0	121.0	101.0	121.5	101.0	0.0	166.0	61.0	105.0	5.0	76.0	16.0	8.0	210.0	118.0	78.0	10.7	117.0	210.0	106.0	104.0	43.0	93.0	2.3	53.8	4.0	0.0	26.0	6.0	9.0	13.0	12.0	34.0	36.0	87.0	1.0	5.0	 Lindkoski   (Lapinjärvi )	6.016807522040856e-06	6.016807522040856e-06	37.0	45.0	80.0	48.0
07850	23.0	175.0	18.0	157.0	141.0	112.0	141.0	0.0	245.0	72.0	173.0	11.0	129.0	16.0	17.0	303.0	155.0	75.5	8.6	159.0	303.0	141.0	162.0	47.0	131.0	2.3	48.8	5.0	1.0	31.0	7.0	13.0	21.0	14.0	47.0	58.0	119.0	9.0	3.0	 Heikinkylä   (Lapinjärvi )	6.908989635284242e-06	6.908989635284242e-06	53.0	44.0	116.0	90.0
07870	67.0	280.0	32.0	248.0	219.0	104.3	219.0	0.0	362.0	106.0	256.0	24.0	175.0	34.0	23.0	441.0	268.0	74.3	8.7	117.0	441.0	213.0	228.0	45.0	196.0	2.3	47.0	11.0	4.0	43.0	8.0	17.0	18.0	19.0	87.0	70.0	182.0	8.0	6.0	 Skinnarby   (Loviisa )	8.656251592990744e-06	8.656251592990744e-06	69.0	85.0	193.0	94.0
07880	156.0	550.0	79.0	471.0	527.0	93.0	515.0	12.0	824.0	257.0	567.0	36.0	427.0	64.0	40.0	1022.0	574.0	76.5	6.0	131.0	1022.0	509.0	513.0	44.0	470.0	2.1	44.3	26.0	20.0	110.0	28.0	53.0	51.0	44.0	182.0	182.0	376.0	89.0	5.0	 Liljendal Keskus   (Loviisa )	1.1116142984663072e-05	1.1116142984663072e-05	176.0	210.0	386.0	250.0
07890	42.0	123.0	12.0	111.0	99.0	106.1	99.0	0.0	163.0	43.0	120.0	6.0	92.0	15.0	7.0	199.0	111.0	78.4	5.4	126.0	198.0	101.0	97.0	46.0	88.0	2.2	48.0	3.0	2.0	22.0	6.0	10.0	7.0	9.0	31.0	35.0	77.0	7.0	4.0	 Mickelspiltom   (Loviisa )	5.566694880625602e-06	5.566694880625602e-06	31.0	36.0	78.0	53.0
07900	899.0	1578.0	413.0	1165.0	2565.0	79.8	1356.0	1209.0	3470.0	1158.0	2312.0	180.0	1563.0	320.0	249.0	4131.0	2146.0	68.1	14.6	178.0	4131.0	2232.0	1899.0	49.0	2270.0	1.8	45.1	182.0	33.0	360.0	68.0	156.0	170.0	167.0	944.0	974.0	1454.0	748.0	68.0	 Loviisa Keskus   (Loviisa )	3.0198158915256396e-05	3.0198158915256396e-05	569.0	692.0	1546.0	1324.0
07910	173.0	508.0	88.0	420.0	673.0	82.1	420.0	253.0	909.0	302.0	607.0	43.0	466.0	65.0	33.0	1069.0	589.0	69.6	12.0	157.0	1069.0	489.0	580.0	48.0	559.0	1.9	45.6	34.0	6.0	93.0	16.0	38.0	44.0	41.0	237.0	229.0	424.0	121.0	14.0	 Valko   (Loviisa )	6.685230218941602e-05	6.685230218941602e-05	142.0	161.0	446.0	320.0
07920	6.0	488.0	29.0	459.0	757.0	94.0	550.0	207.0	1158.0	369.0	789.0	54.0	554.0	117.0	64.0	1411.0	757.0	73.7	7.3	150.0	1411.0	684.0	727.0	47.0	697.0	2.0	47.9	36.0	10.0	145.0	28.0	63.0	62.0	68.0	271.0	281.0	536.0	144.0	17.0	 Etelä-Harju   (Loviisa )	0.0008346129548965933	0.0008346129548965933	216.0	190.0	604.0	401.0
07930	288.0	347.0	55.0	292.0	320.0	105.9	315.0	5.0	524.0	165.0	359.0	23.0	251.0	46.0	39.0	652.0	359.0	74.4	9.2	141.0	652.0	316.0	336.0	45.0	297.0	2.1	48.9	15.0	4.0	66.0	17.0	29.0	34.0	26.0	124.0	108.0	224.0	67.0	6.0	 Pernaja Kirkonkylä   (Loviisa )	1.6533917315350313e-05	1.6533917315350313e-05	119.0	103.0	265.0	165.0
07940	25.0	198.0	20.0	178.0	598.0	74.5	223.0	375.0	842.0	333.0	509.0	32.0	388.0	55.0	34.0	969.0	563.0	59.5	18.3	188.0	969.0	479.0	490.0	49.0	556.0	1.7	45.7	61.0	10.0	76.0	23.0	41.0	28.0	29.0	296.0	187.0	246.0	299.0	11.0	 Määrlahti   (Loviisa )	8.440234992169047e-05	8.440234992169047e-05	112.0	174.0	404.0	279.0
07945	30.0	303.0	52.0	251.0	236.0	108.3	236.0	0.0	383.0	130.0	253.0	14.0	184.0	37.0	18.0	471.0	274.0	80.7	7.9	111.0	471.0	238.0	233.0	45.0	214.0	2.2	50.5	12.0	5.0	43.0	7.0	18.0	22.0	23.0	95.0	80.0	196.0	16.0	2.0	 Kuggom   (Loviisa )	1.2017716103731924e-05	1.2017716103731924e-05	81.0	76.0	205.0	109.0
07955	132.0	562.0	84.0	478.0	573.0	98.9	573.0	0.0	937.0	330.0	607.0	28.0	446.0	82.0	51.0	1181.0	638.0	74.5	8.7	146.0	1177.0	579.0	598.0	44.0	533.0	2.2	46.9	19.0	8.0	128.0	32.0	66.0	63.0	39.0	210.0	198.0	424.0	96.0	13.0	 Tesjoki   (Loviisa )	1.6175260556030694e-05	1.6175260556030694e-05	218.0	176.0	481.0	302.0
